87000416	4824	5	1	40346	760/21642/18	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Рубан Світлана Михайлівна"	http://od.reyestr.court.gov.ua/files/43/4d652a4e3e2866baec83994a05d612ac.rtf	1	"2020-01-23 00:00:00+02"
87013605	0819	1	2	40722	323/3435/19	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Гуцал О. П."	http://od.reyestr.court.gov.ua/files/43/c1c852884bdae6493da3a01a1d8c29d0.rtf	1	"2020-01-23 00:00:00+02"
87013792	0820	1	2	40722	324/1670/19	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Іванченко М. В."	http://od.reyestr.court.gov.ua/files/43/4eefe7e5e3f14aade8b722ded4868743.rtf	1	"2020-01-23 00:00:00+02"
86992190	1401	5	2	40907	467/1367/19	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Кірімова О. М."	http://od.reyestr.court.gov.ua/files/43/356db2f2d7bc4418b654c4d714069df1.rtf	1	"2020-01-23 00:00:00+02"
87008005	2012	5	2	40453	639/163/20	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Васильєва Н. М."	http://od.reyestr.court.gov.ua/files/43/19a2a88a9ed7b8c75d298127f43b7482.rtf	1	"2020-01-23 00:00:00+02"
86994582	1370	5	4	40149	380/35/20	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Мричко Наталія Іванівна"	http://od.reyestr.court.gov.ua/files/43/5c7a469d92aee17cec521758dcd5ab7d.rtf	1	"2020-01-23 00:00:00+02"
87008412	2023	5	2	40802	628/3807/19	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Коваленко О. А."	http://od.reyestr.court.gov.ua/files/43/dd5b101fc0691905672c3425bd37494e.rtf	1	"2020-01-23 00:00:00+02"
87016651	2513	3	1	40327	739/2027/19	"2020-01-16 00:00:00+02"	"2020-01-21 00:00:00+02"	"Іващенко А. І."	http://od.reyestr.court.gov.ua/files/43/85bc1f460799db3f8d285e6c62948680.rtf	1	"2020-01-23 00:00:00+02"
87011610	2602	5	2	40475	753/19619/19	"2019-10-29 00:00:00+02"	"2020-01-21 00:00:00+02"	"Даниленко В. В."	http://od.reyestr.court.gov.ua/files/43/6e6336ca7e28cd4b39bfa06f6ce5f88f.rtf	1	"2020-01-23 00:00:00+02"
87012816	4809	2	5	41090	390/1381/19	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Іванов Д. Л."	http://od.reyestr.court.gov.ua/files/43/cd0de324b902bac69d5da03373469bd4.rtf	1	"2020-01-23 00:00:00+02"
86999480	5016	5	3	12767	5016/2299/2012(4/75)	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Ткаченко О.В."	http://od.reyestr.court.gov.ua/files/43/17938527406b3ba357fb96d127773045.rtf	1	"2020-01-23 00:00:00+02"
87004181	1005	5	2	40576	359/6113/19	"2020-01-16 00:00:00+02"	"2020-01-21 00:00:00+02"	"Вознюк С. М."	http://od.reyestr.court.gov.ua/files/43/4ee61888d7cd7ba891e860952ae48a82.rtf	1	"2020-01-23 00:00:00+02"
87015977	2121	1	2	40722	664/2871/19	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Яценко О. М."	http://od.reyestr.court.gov.ua/files/43/8504ded2e6b023402d94493a7b741efc.rtf	1	"2020-01-23 00:00:00+02"
87001459	0409	5	2	40469	209/145/20	"2020-01-16 00:00:00+02"	"2020-01-21 00:00:00+02"	"Шендрик К. Л."	http://od.reyestr.court.gov.ua/files/43/df2e048d769cbb37b6e6bee0dc5f73b4.rtf	1	"2020-01-23 00:00:00+02"
86997760	5004	5	3	4111	903/880/15	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Кравчук Антоніна Михайлівна"	http://od.reyestr.court.gov.ua/files/43/3fc3ff3a564e1c7bd9e7a294f621255b.rtf	1	"2020-01-23 00:00:00+02"
87017668	2220	3	1	40379	682/2377/19	"2020-01-17 00:00:00+02"	"2020-01-21 00:00:00+02"	"Босюк В. А."	http://od.reyestr.court.gov.ua/files/43/11ae3166127fb31237bcfe61112f574f.rtf	1	"2020-01-23 00:00:00+02"
87001535	0411	5	2	40469	211/411/20	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Ніколенко Д. М."	http://od.reyestr.court.gov.ua/files/43/ff7d7788c4d24de684f6598ddb05236f.rtf	1	"2020-01-23 00:00:00+02"
87004126	1004	5	2	40576	371/924/18	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Тітов М. Б."	http://od.reyestr.court.gov.ua/files/43/c83b8f7f4055d08770f3868960dcd915.rtf	1	"2020-01-23 00:00:00+02"
87015188	1817	3	1	1062	587/2729/17	"2020-01-14 00:00:00+02"	"2020-01-21 00:00:00+02"	"Черних О. М."	http://od.reyestr.court.gov.ua/files/43/36f1824f932a493b3a194509f8a2cd72.rtf	1	"2020-01-23 00:00:00+02"
87010957	2602	5	2	40478	753/1001/20	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Коренюк А. М."	http://od.reyestr.court.gov.ua/files/43/0288f9708132a8384b2d59e40b91c7d5.rtf	1	"2020-01-23 00:00:00+02"
87011519	2601	2	2	2031	752/22150/17	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Валігура Д. М."	http://od.reyestr.court.gov.ua/files/43/4d15dab66ab844c94816a539dfe8b7cf.rtf	1	"2020-01-23 00:00:00+02"
87004073	1003	5	2	11662	357/14202/17	"2020-01-17 00:00:00+02"	"2020-01-21 00:00:00+02"	"Буцмак Ю. Є."	http://od.reyestr.court.gov.ua/files/43/a2a6284480e15952d16f30ccc3d07826.rtf	1	"2020-01-23 00:00:00+02"
87019075	2603	5	2	40476	754/124/20	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Лобанов В. А."	http://od.reyestr.court.gov.ua/files/43/046a4a2d6437342a1b196cf0f84ffc42.rtf	1	"2020-01-23 00:00:00+02"
87015059	1807	3	1	40373	577/5201/19	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Буток Т. А."	http://od.reyestr.court.gov.ua/files/43/ab40e0320dedfe41e404ccb721dc4d3a.rtf	1	"2020-01-23 00:00:00+02"
87001792	0415	5	2	40470	208/255/20	"2020-01-15 00:00:00+02"	"2020-01-21 00:00:00+02"	"Ізотов В. М."	http://od.reyestr.court.gov.ua/files/43/a4e40aade86cdf85ea6885c2afdb45a9.rtf	1	"2020-01-23 00:00:00+02"
87007286	1623	1	2	40722	543/1288/19	"2020-01-17 00:00:00+02"	"2020-01-21 00:00:00+02"	"Грузман Т. В."	http://od.reyestr.court.gov.ua/files/43/d140554aa57655772f3dd9aa9da2e7b2.rtf	1	"2020-01-23 00:00:00+02"
87011835	2606	5	2	40469	757/107/20-к	"2020-01-08 00:00:00+02"	"2020-01-21 00:00:00+02"	"Бортницька В. В."	http://od.reyestr.court.gov.ua/files/43/2e039d35a93a8162feb017ae35a7cc3e.rtf	1	"2020-01-23 00:00:00+02"
87018608	0605	3	1	40389	275/497/19	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Данилюк О. С."	http://od.reyestr.court.gov.ua/files/43/5308915d830a5e871dd4a1a1858f54c5.rtf	1	"2020-01-23 00:00:00+02"
87022165	5012	5	3		911/197/19	"2020-01-21 00:00:00+02"	"2020-01-21 00:00:00+02"	"Третьякова О.О."	http://od.reyestr.court.gov.ua/files/43/de88f498f32fef9cf3229bcfe2191b23.rtf	1	"2020-01-23 00:00:00+02"
87000417	4824	5	1	40346	756/8931/19	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Борисова Олена Василівна"	http://od.reyestr.court.gov.ua/files/43/7c5a1db75ead28b2871b81fe8310cc1d.rtf	1	"2020-01-23 00:00:00+02"
87013777	1301	3	1	1073	438/1262/16-ц	"2020-01-17 00:00:00+02"	"2020-01-21 00:00:00+02"	"Слиш А. Т."	http://od.reyestr.court.gov.ua/files/43/b79adce5e23b8bae42e671e19e675551.rtf	1	"2020-01-23 00:00:00+02"
86999154	5011	5	3	4006	910/22933/15	"2020-01-20 00:00:00+02"	"2020-01-21 00:00:00+02"	"Мандриченко О.В."	http://od.reyestr.court.gov.ua/files/43/ffa8f60b334055fbfed3dd0f516c11c3.rtf	1	"2020-01-23 00:00:00+02"
